maintenance_id,equipment_id,date,maintenance_type,failure_type,downtime_hours,labor_cost,material_cost,contractor_cost,total_cost,priority,work_order_status
MNT-000240,EQ-0040,2022-09-03,Corrective,Seal Leak,24.38,6243.41,3819.3,0.0,10062.71,High,Completed
MNT-000241,EQ-0024,2022-09-04,Preventive,,5.37,1782.69,194.96,0.0,1977.65,Medium,Completed
MNT-000243,EQ-0044,2022-09-04,Preventive,,7.67,1630.72,4883.88,0.0,6514.6,Medium,Completed
MNT-000244,EQ-0016,2022-09-05,Corrective,Bearing Failure,6.35,1504.66,108.45,12655.62,14268.73,High,Completed
MNT-000245,EQ-0029,2022-09-05,Preventive,,14.58,6893.01,7241.2,0.0,14134.21,Medium,Completed
MNT-000246,EQ-0007,2022-09-08,Preventive,,6.23,1695.0,1566.56,0.0,3261.56,Medium,Completed
MNT-000247,EQ-0007,2022-09-08,Inspection,,1.9,460.57,0.0,0.0,460.57,Low,Completed
MNT-000248,EQ-0042,2022-09-11,Corrective,Excessive Vibration,17.03,5570.08,201.52,13498.98,19270.58,High,Completed
MNT-000249,EQ-0015,2022-09-13,Preventive,,4.44,1255.46,3426.92,0.0,4682.38,Medium,Completed
MNT-000250,EQ-0015,2022-09-13,Inspection,,2.77,729.76,0.0,0.0,729.76,Low,Completed
MNT-000251,EQ-0006,2022-09-15,Preventive,,6.57,2939.43,5046.16,0.0,7985.59,Medium,Completed
MNT-000252,EQ-0008,2022-09-17,Preventive,,6.08,1734.96,191.48,0.0,1926.44,Medium,Completed
MNT-000253,EQ-0047,2022-09-17,Preventive,,9.61,3153.82,211.62,0.0,3365.44,Medium,Completed
MNT-000254,EQ-0021,2022-09-18,Corrective,Electrical Fault,13.82,3526.35,432.68,6328.26,10287.29,High,Completed
MNT-000255,EQ-0022,2022-09-18,Corrective,Seat Leakage,9.15,1707.86,3463.71,0.0,5171.57,High,Completed
MNT-000256,EQ-0012,2022-09-19,Preventive,,4.3,1785.88,1206.85,0.0,2992.73,Medium,Completed
MNT-000257,EQ-0040,2022-09-19,Preventive,,4.91,1181.65,1498.72,0.0,2680.37,Medium,Completed
MNT-000258,EQ-0041,2022-09-19,Preventive,,6.74,2338.32,530.22,0.0,2868.54,Medium,Completed
MNT-000259,EQ-0005,2022-09-22,Preventive,,14.39,3847.33,340.56,0.0,4187.89,Medium,Completed
MNT-000260,EQ-0005,2022-09-22,Inspection,,1.41,664.18,127.95,0.0,792.13,Low,Completed
MNT-000261,EQ-0026,2022-09-24,Corrective,Motor Overheating,53.85,14030.79,202.44,0.0,14233.23,Critical,Completed
MNT-000262,EQ-0034,2022-09-25,Corrective,Stuck Valve,3.82,631.39,2922.43,0.0,3553.82,High,Completed
MNT-000263,EQ-0045,2022-09-25,Preventive,,6.21,1583.4,511.8,0.0,2095.2,Medium,Completed
MNT-000264,EQ-0027,2022-09-28,Corrective,Motor Overheating,19.89,4811.95,9051.5,0.0,13863.45,High,Completed
MNT-000265,EQ-0004,2022-10-03,Corrective,Seal Leak,36.6,9197.55,3340.53,0.0,12538.08,High,Completed
MNT-000266,EQ-0014,2022-10-03,Corrective,Seal Leak,13.37,3449.08,151.83,13379.57,16980.48,High,Completed
MNT-000267,EQ-0033,2022-10-04,Preventive,,7.8,1684.24,202.44,0.0,1886.68,Medium,Completed
MNT-000268,EQ-0048,2022-10-04,Corrective,Flange Leak,13.41,4889.84,419.36,0.0,5309.2,High,Completed
MNT-000269,EQ-0004,2022-10-07,Preventive,,6.72,1999.74,1251.65,0.0,3251.39,Medium,Completed
MNT-000270,EQ-0013,2022-10-10,Corrective,Bearing Failure,11.66,2696.74,750.99,24830.25,28277.98,High,Completed
MNT-000271,EQ-0020,2022-10-13,Preventive,,9.03,1758.6,2701.0,0.0,4459.6,Medium,Completed
MNT-000272,EQ-0038,2022-10-13,Preventive,,7.03,1714.19,1273.1,0.0,2987.29,Medium,Completed
MNT-000273,EQ-0038,2022-10-13,Inspection,,2.42,595.59,0.0,0.0,595.59,Low,Completed
MNT-000274,EQ-0048,2022-10-14,Preventive,,4.96,1489.42,2477.32,0.0,3966.74,Medium,Completed
MNT-000275,EQ-0048,2022-10-14,Inspection,,1.03,295.8,0.0,0.0,295.8,Low,Completed
MNT-000276,EQ-0005,2022-10-15,Corrective,Overheating,21.37,9186.27,3153.85,12462.58,24802.7,High,Completed
MNT-000277,EQ-0021,2022-10-15,Corrective,Overheating,24.59,6868.94,2334.92,7218.93,16422.79,High,Completed
MNT-000278,EQ-0004,2022-10-16,Corrective,Seal Leak,17.78,4593.81,5417.04,0.0,10010.85,High,Completed
MNT-000279,EQ-0015,2022-10-16,Corrective,Impeller Wear,23.83,6383.38,113.52,0.0,6496.9,High,Completed
MNT-000280,EQ-0046,2022-10-17,Preventive,,6.72,936.82,1206.85,0.0,2143.67,Medium,Completed
MNT-000281,EQ-0009,2022-10-18,Preventive,,6.65,1610.39,4669.84,0.0,6280.23,Medium,Completed
MNT-000282,EQ-0009,2022-10-18,Inspection,,1.71,567.96,115.12,0.0,683.08,Low,Completed
MNT-000283,EQ-0031,2022-10-19,Corrective,Level Control Fault,21.44,5934.45,7132.35,0.0,13066.8,High,Completed
MNT-000284,EQ-0013,2022-10-20,Corrective,Impeller Wear,9.33,2583.58,433.8,0.0,3017.38,High,Completed
MNT-000285,EQ-0017,2022-10-20,Preventive,,8.47,3918.86,13854.84,0.0,17773.7,Medium,Completed
MNT-000286,EQ-0021,2022-10-20,Preventive,,4.26,1275.13,1535.4,0.0,2810.53,Medium,Completed
MNT-000287,EQ-0027,2022-10-21,Preventive,,3.32,599.17,334.2,0.0,933.37,Medium,Completed
MNT-000288,EQ-0043,2022-10-23,Preventive,,2.58,584.84,493.78,1833.23,2911.85,Medium,Completed
MNT-000289,EQ-0002,2022-10-24,Corrective,Motor Overheating,11.37,2657.44,1892.31,0.0,4549.75,High,Completed
MNT-000290,EQ-0042,2022-10-24,Corrective,Excessive Vibration,14.63,6740.79,3255.92,3271.94,13268.65,High,Completed
MNT-000291,EQ-0034,2022-10-26,Preventive,,5.28,833.82,650.7,0.0,1484.52,Medium,Completed
MNT-000292,EQ-0034,2022-10-26,Inspection,,2.87,536.94,0.0,0.0,536.94,Low,Completed
MNT-000293,EQ-0034,2022-10-28,Corrective,Seat Leakage,5.4,818.26,542.25,0.0,1360.51,High,Completed
MNT-000294,EQ-0040,2022-10-29,Corrective,Seal Leak,34.01,11419.11,936.7,0.0,12355.81,High,Completed
MNT-000295,EQ-0013,2022-10-30,Corrective,Bearing Failure,12.72,2435.26,418.45,0.0,2853.71,High,Completed
MNT-000296,EQ-0016,2022-11-01,Corrective,Bearing Failure,16.6,5055.19,2965.11,0.0,8020.3,High,Completed
MNT-000297,EQ-0022,2022-11-02,Preventive,,8.94,1209.53,11833.15,0.0,13042.68,Medium,Completed
MNT-000298,EQ-0022,2022-11-02,Inspection,,1.44,266.56,6927.42,0.0,7193.98,Low,Completed
MNT-000299,EQ-0045,2022-11-03,Corrective,Electrical Fault,10.61,2929.76,867.28,0.0,3797.04,High,Completed
MNT-000300,EQ-0014,2022-11-05,Preventive,,10.13,2456.44,750.99,0.0,3207.43,Medium,Completed
MNT-000301,EQ-0014,2022-11-05,Inspection,,2.75,778.4,1810.3,0.0,2588.7,Low,Completed
MNT-000302,EQ-0031,2022-11-06,Preventive,,5.56,1244.26,607.76,0.0,1852.02,Medium,Completed
MNT-000303,EQ-0019,2022-11-07,Preventive,,6.57,1434.8,9920.94,0.0,11355.74,Medium,Completed
MNT-000304,EQ-0019,2022-11-07,Inspection,,2.44,681.27,1653.49,0.0,2334.76,Low,Completed
MNT-000305,EQ-0028,2022-11-09,Preventive,,6.71,1569.7,433.8,0.0,2003.5,Medium,Completed
MNT-000306,EQ-0037,2022-11-09,Preventive,,6.13,2011.93,2546.2,0.0,4558.13,Medium,Completed
MNT-000307,EQ-0039,2022-11-11,Corrective,Seal Leak,10.04,2804.21,1594.52,0.0,4398.73,High,Completed
MNT-000308,EQ-0006,2022-11-12,Corrective,Seal Leak,5.84,2583.53,3665.23,0.0,6248.76,High,Completed
MNT-000309,EQ-0003,2022-11-14,Preventive,,5.55,1311.81,1354.26,0.0,2666.07,Medium,Completed
MNT-000310,EQ-0003,2022-11-14,Inspection,,1.74,370.86,677.13,0.0,1047.99,Low,Completed
MNT-000311,EQ-0042,2022-11-15,Preventive,,8.84,4345.55,445.6,8878.38,13669.53,Medium,Completed
MNT-000312,EQ-0013,2022-11-16,Preventive,,10.53,3069.14,650.7,0.0,3719.84,Medium,Completed
MNT-000313,EQ-0023,2022-11-16,Preventive,,6.82,1589.52,5402.0,0.0,6991.52,Medium,Completed
MNT-000314,EQ-0016,2022-11-19,Corrective,Impeller Wear,22.89,6524.95,542.25,20440.51,27507.71,High,Completed
MNT-000315,EQ-0026,2022-11-21,Preventive,,5.85,1477.48,5092.4,0.0,6569.88,Medium,Completed
MNT-000316,EQ-0036,2022-11-22,Preventive,,6.27,2398.11,607.76,0.0,3005.87,Medium,Completed
MNT-000317,EQ-0018,2022-11-23,Preventive,,7.48,3022.84,5997.11,12487.95,21507.9,Medium,Completed
MNT-000318,EQ-0039,2022-11-23,Corrective,Bearing Failure,34.01,11275.44,970.75,8479.16,20725.35,High,Completed
MNT-000319,EQ-0047,2022-11-23,Corrective,Gasket Failure,7.55,2493.24,2100.12,0.0,4593.36,High,Completed
MNT-000320,EQ-0032,2022-11-24,Preventive,,5.42,1122.51,4733.26,0.0,5855.77,Medium,Completed
MNT-000321,EQ-0032,2022-11-24,Inspection,,2.88,746.3,2366.63,0.0,3112.93,Low,Completed
MNT-000322,EQ-0033,2022-11-26,Corrective,Fuel System Fault,10.94,3449.94,445.6,0.0,3895.54,High,Completed
MNT-000323,EQ-0025,2022-11-27,Preventive,,5.58,1174.17,334.2,0.0,1508.37,Medium,Completed
MNT-000324,EQ-0039,2022-11-27,Preventive,,5.18,1505.26,374.68,0.0,1879.94,Medium,Completed
MNT-000325,EQ-0039,2022-11-27,Inspection,,1.28,251.98,0.0,0.0,251.98,Low,Completed
MNT-000326,EQ-0004,2022-11-29,Corrective,Bearing Failure,10.16,3275.29,46.55,0.0,3321.84,High,Completed
MNT-000327,EQ-0010,2022-12-01,Preventive,,6.08,860.92,9767.76,0.0,10628.68,Medium,Completed
MNT-000328,EQ-0010,2022-12-01,Inspection,,1.59,221.49,241.37,0.0,462.86,Low,Completed
MNT-000329,EQ-0011,2022-12-02,Preventive,,5.84,1253.78,765.92,0.0,2019.7,Medium,Completed
MNT-000330,EQ-0011,2022-12-02,Inspection,,2.84,806.51,482.74,0.0,1289.25,Low,Completed
MNT-000331,EQ-0002,2022-12-04,Preventive,,5.75,1390.41,3385.65,0.0,4776.06,Medium,Completed
MNT-000332,EQ-0002,2022-12-04,Inspection,,1.27,317.48,56.76,0.0,374.24,Low,Completed
MNT-000333,EQ-0016,2022-12-04,Preventive,,6.12,2078.96,283.8,0.0,2362.76,Medium,Completed
MNT-000334,EQ-0016,2022-12-04,Inspection,,2.45,549.09,93.1,0.0,642.19,Low,Completed
MNT-000335,EQ-0028,2022-12-08,Corrective,Motor Overheating,6.23,1576.93,9051.5,0.0,10628.43,High,Completed
MNT-000336,EQ-0001,2022-12-09,Preventive,,7.08,2216.43,724.11,0.0,2940.54,Medium,Completed
MNT-000337,EQ-0001,2022-12-09,Inspection,,2.9,610.99,482.74,0.0,1093.73,Low,Completed
MNT-000338,EQ-0008,2022-12-09,Corrective,Level Control Fault,16.52,7215.51,493.78,10283.03,17992.32,High,Completed
MNT-000339,EQ-0044,2022-12-09,Preventive,,5.51,1310.03,325.95,0.0,1635.98,Medium,Completed
MNT-000340,EQ-0041,2022-12-10,Corrective,Overheating,9.68,4572.1,1354.26,7289.44,13215.8,High,Completed
MNT-000341,EQ-0047,2022-12-10,Corrective,Tube Fouling,19.95,5329.2,5898.55,0.0,11227.75,High,Completed
MNT-000342,EQ-0045,2022-12-11,Corrective,Electrical Fault,19.19,5014.06,706.96,0.0,5721.02,High,Completed
MNT-000343,EQ-0024,2022-12-15,Preventive,,9.31,2655.07,1752.31,0.0,4407.38,Medium,Completed
MNT-000344,EQ-0024,2022-12-15,Inspection,,2.98,1204.11,0.0,0.0,1204.11,Low,Completed
MNT-000345,EQ-0030,2022-12-16,Preventive,,11.18,5106.02,388.74,0.0,5494.76,Medium,Completed
MNT-000346,EQ-0006,2022-12-17,Preventive,,9.52,4757.52,383.85,0.0,5141.37,Medium,Completed
MNT-000347,EQ-0017,2022-12-17,Corrective,Valve Failure,16.83,8635.63,232.75,5322.96,14191.34,High,Completed
MNT-000348,EQ-0035,2022-12-19,Preventive,,6.79,1309.25,10804.0,0.0,12113.25,Medium,Completed
MNT-000349,EQ-0035,2022-12-19,Inspection,,1.17,342.83,374.68,0.0,717.51,Low,Completed
MNT-000350,EQ-0043,2022-12-19,Corrective,Valve Failure,14.16,2911.59,18767.98,0.0,21679.57,High,Completed
MNT-000351,EQ-0005,2022-12-20,Preventive,,11.85,3891.04,1354.26,5061.79,10307.09,Medium,Completed
MNT-000352,EQ-0005,2022-12-20,Inspection,,2.58,1048.78,1875.37,0.0,2924.15,Low,Completed
MNT-000353,EQ-0008,2022-12-21,Preventive,,4.93,1500.81,3916.4,0.0,5417.21,Medium,Completed
MNT-000354,EQ-0017,2022-12-23,Corrective,Excessive Vibration,62.37,32473.33,5430.9,15015.83,52920.06,Critical,Completed
MNT-000355,EQ-0016,2022-12-24,Corrective,Motor Overheating,37.86,10486.02,486.24,0.0,10972.26,High,Completed
MNT-000356,EQ-0007,2022-12-26,Preventive,,4.0,1055.02,670.18,0.0,1725.2,Medium,Completed
MNT-000357,EQ-0007,2022-12-26,Inspection,,2.57,775.41,0.0,0.0,775.41,Low,Completed
MNT-000358,EQ-0028,2022-12-27,Corrective,Impeller Wear,38.04,9403.06,3819.3,0.0,13222.36,High,Completed
MNT-000359,EQ-0029,2022-12-28,Preventive,,13.53,5091.87,4455.85,0.0,9547.72,Medium,Completed
MNT-000360,EQ-0029,2022-12-28,Inspection,,1.45,625.72,636.55,0.0,1262.27,Low,Completed
MNT-000361,EQ-0001,2022-12-30,Corrective,Seal Leak,36.99,8060.86,1114.84,16252.03,25427.73,High,Completed
MNT-000362,EQ-0016,2022-12-30,Corrective,Seal Leak,3.96,1062.51,250.33,14559.79,15872.63,High,Completed
MNT-000363,EQ-0015,2023-01-01,Preventive,,5.11,1279.47,1501.98,0.0,2781.45,Medium,Completed
MNT-000364,EQ-0012,2023-01-04,Preventive,,4.94,1733.08,1689.59,4813.36,8236.03,Medium,Completed
MNT-000365,EQ-0012,2023-01-04,Inspection,,2.74,859.79,70.54,0.0,930.33,Low,Completed
MNT-000366,EQ-0013,2023-01-07,Corrective,Motor Overheating,29.75,8246.65,4825.9,18142.14,31214.69,High,Completed
MNT-000367,EQ-0004,2023-01-08,Preventive,,4.06,994.5,186.2,0.0,1180.7,Medium,Completed
MNT-000368,EQ-0022,2023-01-09,Corrective,Actuator Failure,10.09,1670.23,4965.69,0.0,6635.92,High,Completed
MNT-000369,EQ-0045,2023-01-10,Preventive,,4.88,1553.16,1829.1,0.0,3382.26,Medium,Completed
MNT-000370,EQ-0041,2023-01-11,Preventive,,15.01,7462.55,222.8,8077.45,15762.8,Medium,Completed
MNT-000371,EQ-0033,2023-01-12,Preventive,,6.31,1187.53,557.0,0.0,1744.53,Medium,Completed
MNT-000372,EQ-0038,2023-01-13,Corrective,Seal Leak,64.65,17477.3,314.52,0.0,17791.82,Critical,Completed
MNT-000373,EQ-0030,2023-01-14,Corrective,Overheating,52.71,18679.79,10114.42,14174.85,42969.06,Critical,Completed
MNT-000374,EQ-0047,2023-01-14,Preventive,,7.7,2078.66,282.16,0.0,2360.82,Medium,Completed
MNT-000375,EQ-0046,2023-01-15,Preventive,,4.71,1029.63,1930.96,0.0,2960.59,Medium,Completed
MNT-000376,EQ-0046,2023-01-15,Inspection,,2.22,318.8,482.74,0.0,801.54,Low,Completed
MNT-000377,EQ-0048,2023-01-16,Preventive,,4.38,1806.33,760.55,0.0,2566.88,Medium,Completed
MNT-000378,EQ-0048,2023-01-16,Inspection,,2.42,882.96,241.37,0.0,1124.33,Low,Completed
MNT-000379,EQ-0044,2023-01-17,Corrective,Valve Failure,11.07,2708.86,141.08,0.0,2849.94,High,Completed
MNT-000380,EQ-0009,2023-01-19,Preventive,,7.76,1662.17,895.65,0.0,2557.82,Medium,Completed
MNT-000381,EQ-0039,2023-01-19,Corrective,Impeller Wear,12.01,2566.65,2910.04,0.0,5476.69,High,Completed
MNT-000382,EQ-0040,2023-01-19,Preventive,,3.58,913.19,724.11,0.0,1637.3,Medium,Completed
MNT-000383,EQ-0036,2023-01-23,Corrective,Pressure Fault,5.58,1933.69,104.84,0.0,2038.53,High,Completed
MNT-000384,EQ-0017,2023-01-30,Preventive,,12.07,5408.04,230.24,10288.35,15926.63,Medium,Completed
MNT-000385,EQ-0042,2023-01-30,Corrective,Valve Failure,30.61,11537.11,2031.39,0.0,13568.5,High,Completed
MNT-000386,EQ-0043,2023-01-30,Preventive,,5.29,1241.66,9376.85,0.0,10618.51,Medium,Completed
MNT-000387,EQ-0043,2023-01-30,Inspection,,1.13,269.63,70.54,0.0,340.17,Low,Completed
MNT-000388,EQ-0020,2023-02-01,Preventive,,5.52,1592.21,6752.5,0.0,8344.71,Medium,Completed
MNT-000389,EQ-0027,2023-02-01,Preventive,,4.56,914.32,1311.38,0.0,2225.7,Medium,Completed
MNT-000390,EQ-0027,2023-02-01,Inspection,,2.83,639.78,0.0,0.0,639.78,Low,Completed
MNT-000391,EQ-0026,2023-02-02,Corrective,Bearing Failure,57.72,10160.1,1797.3,0.0,11957.4,Critical,Completed
MNT-000392,EQ-0028,2023-02-03,Corrective,Seal Leak,8.57,2463.88,10861.8,0.0,13325.68,High,Completed
MNT-000393,EQ-0034,2023-02-04,Corrective,Actuator Failure,3.37,681.56,749.36,16065.75,17496.67,High,Completed
MNT-000395,EQ-0039,2023-02-05,Corrective,Seal Leak,9.76,2570.5,3385.65,15919.45,21875.6,High,Completed
MNT-000396,EQ-0014,2023-02-06,Preventive,,5.45,1253.12,2523.08,0.0,3776.2,Medium,Completed
MNT-000397,EQ-0018,2023-02-06,Corrective,Seal Leak,10.3,4306.02,856.73,0.0,5162.75,High,Completed
MNT-000398,EQ-0038,2023-02-08,Preventive,,3.57,932.16,1273.1,0.0,2205.26,Medium,Completed
MNT-000399,EQ-0038,2023-02-08,Inspection,,1.87,489.1,0.0,0.0,489.1,Low,Completed
MNT-000400,EQ-0003,2023-02-09,Preventive,,6.62,2080.32,251.9,21837.08,24169.3,Medium,Completed
MNT-000401,EQ-0019,2023-02-09,Preventive,,5.49,1740.61,670.18,0.0,2410.79,Medium,Completed
MNT-000402,EQ-0019,2023-02-09,Inspection,,2.27,600.73,0.0,0.0,600.73,Low,Completed
MNT-000403,EQ-0023,2023-02-09,Preventive,,4.77,1052.45,1501.98,0.0,2554.43,Medium,Completed
MNT-000404,EQ-0031,2023-02-09,Preventive,,3.9,820.71,9920.94,0.0,10741.65,Medium,Completed
MNT-000405,EQ-0026,2023-02-11,Corrective,Bearing Failure,44.21,9908.33,1543.4,0.0,11451.73,High,Completed
MNT-000406,EQ-0033,2023-02-11,Corrective,Electrical Fault,21.85,5542.33,3401.98,0.0,8944.31,High,Completed
MNT-000407,EQ-0022,2023-02-12,Corrective,Actuator Failure,4.76,992.47,2908.88,0.0,3901.35,High,Completed
MNT-000408,EQ-0037,2023-02-13,Preventive,,6.51,1550.3,779.8,0.0,2330.1,Medium,Completed
MNT-000409,EQ-0021,2023-02-14,Preventive,,5.91,1598.62,575.6,0.0,2174.22,Medium,Completed
MNT-000410,EQ-0028,2023-02-14,Preventive,,4.71,980.72,779.8,0.0,1760.52,Medium,Completed
MNT-000411,EQ-0011,2023-02-17,Corrective,Tube Fouling,42.17,11815.99,1448.22,0.0,13264.21,High,Completed
MNT-000412,EQ-0032,2023-02-17,Preventive,,4.02,999.05,4960.47,0.0,5959.52,Medium,Completed
MNT-000413,EQ-0016,2023-02-21,Corrective,Impeller Wear,11.12,2998.95,433.8,30562.01,33994.76,High,Completed
MNT-000414,EQ-0014,2023-02-22,Corrective,Bearing Failure,24.53,5391.91,2464.45,0.0,7856.36,High,Completed
MNT-000415,EQ-0018,2023-02-26,Preventive,,7.08,3343.43,93.1,0.0,3436.53,Medium,Completed
MNT-000416,EQ-0034,2023-02-27,Preventive,,7.02,1134.16,1311.38,0.0,2445.54,Medium,Completed
MNT-000417,EQ-0042,2023-02-27,Preventive,,11.31,6019.82,767.7,0.0,6787.52,Medium,Completed
MNT-000418,EQ-0042,2023-02-27,Inspection,,2.31,1099.26,636.55,0.0,1735.81,Low,Completed
MNT-000419,EQ-0007,2023-03-02,Corrective,Fouling,4.32,728.12,141.08,0.0,869.2,High,Completed
MNT-000420,EQ-0013,2023-03-03,Preventive,,8.74,2087.09,1261.54,0.0,3348.63,Medium,Completed
MNT-000421,EQ-0013,2023-03-03,Inspection,,1.42,401.15,0.0,0.0,401.15,Low,Completed
MNT-000422,EQ-0014,2023-03-03,Corrective,Motor Overheating,12.29,3386.63,2147.26,0.0,5533.89,High,Completed
MNT-000423,EQ-0022,2023-03-03,Preventive,,11.46,2209.13,24245.97,0.0,26455.1,Medium,Completed
MNT-000424,EQ-0046,2023-03-03,Corrective,Stuck Valve,7.78,1602.64,18283.94,22367.84,42254.42,High,Completed
MNT-000425,EQ-0025,2023-03-06,Preventive,,3.59,866.06,14482.4,0.0,15348.46,Medium,Completed
MNT-000426,EQ-0018,2023-03-07,Corrective,Valve Failure,38.87,13050.02,115.12,0.0,13165.14,High,Completed
MNT-000427,EQ-0013,2023-03-08,Corrective,Bearing Failure,20.38,5081.39,3784.62,0.0,8866.01,High,Completed
MNT-000428,EQ-0040,2023-03-08,Corrective,Seal Leak,5.2,1017.31,151.14,0.0,1168.45,High,Completed
MNT-000429,EQ-0001,2023-03-10,Preventive,,8.79,2285.5,1752.31,0.0,4037.81,Medium,Completed
MNT-000430,EQ-0002,2023-03-10,Corrective,Motor Overheating,12.38,2655.4,965.48,0.0,3620.88,High,Completed
MNT-000431,EQ-0029,2023-03-10,Corrective,Valve Failure,15.51,7005.67,3620.6,12327.89,22954.16,High,Completed
MNT-000432,EQ-0010,2023-03-11,Preventive,,5.02,856.34,750.99,0.0,1607.33,Medium,Completed
MNT-000433,EQ-0006,2023-03-12,Corrective,Seal Leak,76.88,31813.13,11252.22,0.0,43065.35,Critical,Completed
MNT-000434,EQ-0016,2023-03-15,Preventive,,9.07,2119.65,750.99,0.0,2870.64,Medium,Completed
MNT-000435,EQ-0026,2023-03-16,Preventive,,5.96,1828.62,9051.5,17223.98,28104.1,Medium,Completed
MNT-000436,EQ-0027,2023-03-16,Corrective,Impeller Wear,17.23,5867.8,9261.18,0.0,15128.98,High,Completed
MNT-000437,EQ-0008,2023-03-17,Preventive,,7.79,1867.29,191.48,0.0,2058.77,Medium,Completed
MNT-000438,EQ-0002,2023-03-18,Preventive,,10.69,3048.09,4062.78,0.0,7110.87,Medium,Completed
MNT-000439,EQ-0030,2023-03-20,Preventive,,7.52,2869.36,4733.26,0.0,7602.62,Medium,Completed
MNT-000440,EQ-0044,2023-03-20,Preventive,,5.32,1166.6,8670.62,0.0,9837.22,Medium,Completed
MNT-000441,EQ-0006,2023-03-22,Preventive,,18.09,8290.14,2031.39,0.0,10321.53,Medium,Completed
MNT-000442,EQ-0036,2023-03-23,Preventive,,5.78,1829.93,9453.5,0.0,11283.43,Medium,Completed
MNT-000443,EQ-0039,2023-03-23,Preventive,,5.49,1385.14,524.2,0.0,1909.34,Medium,Completed
MNT-000444,EQ-0044,2023-03-23,Corrective,Level Control Fault,17.24,3125.02,423.24,7996.23,11544.49,High,Completed
MNT-000445,EQ-0029,2023-03-29,Preventive,,8.07,4036.25,303.66,0.0,4339.91,Medium,Completed
MNT-000446,EQ-0040,2023-04-01,Corrective,Impeller Wear,7.09,1382.03,2365.59,0.0,3747.62,High,Completed
MNT-000447,EQ-0011,2023-04-03,Preventive,,5.83,1924.43,574.44,0.0,2498.87,Medium,Completed
MNT-000448,EQ-0024,2023-04-04,Preventive,,7.64,2222.35,759.15,0.0,2981.5,Medium,Completed
MNT-000449,EQ-0005,2023-04-05,Corrective,Overheating,46.98,20041.76,1269.79,0.0,21311.55,High,Completed
MNT-000450,EQ-0005,2023-04-06,Preventive,,14.52,6591.14,227.04,0.0,6818.18,Medium,Completed
MNT-000451,EQ-0015,2023-04-10,Preventive,,3.62,766.9,1501.98,0.0,2268.88,Medium,Completed
MNT-000452,EQ-0002,2023-04-13,Corrective,Bearing Failure,19.66,5238.63,4415.39,0.0,9654.02,High,Completed
MNT-000453,EQ-0035,2023-04-13,Preventive,,5.26,983.55,936.7,0.0,1920.25,Medium,Completed
MNT-000454,EQ-0033,2023-04-14,Preventive,,9.0,2088.53,668.4,0.0,2756.93,Medium,Completed
MNT-000455,EQ-0007,2023-04-15,Preventive,,8.49,1893.95,574.44,0.0,2468.39,Medium,Completed
MNT-000456,EQ-0047,2023-04-16,Preventive,,4.53,1404.71,524.2,0.0,1928.91,Medium,Completed
MNT-000457,EQ-0004,2023-04-17,Preventive,,4.61,907.3,1892.31,0.0,2799.61,Medium,Completed
MNT-000458,EQ-0008,2023-04-18,Corrective,Level Control Fault,16.49,5727.11,17318.55,0.0,23045.66,High,Completed
MNT-000459,EQ-0040,2023-04-20,Preventive,,6.71,1382.77,562.02,0.0,1944.79,Medium,Completed
MNT-000460,EQ-0046,2023-04-25,Preventive,,6.74,1145.29,209.68,0.0,1354.97,Medium,Completed
MNT-000461,EQ-0012,2023-04-26,Preventive,,7.82,2338.45,1448.22,0.0,3786.67,Medium,Completed
MNT-000462,EQ-0012,2023-04-26,Inspection,,1.4,510.77,0.0,0.0,510.77,Low,Completed
MNT-000463,EQ-0003,2023-04-27,Corrective,Motor Overheating,21.37,6277.3,750.99,0.0,7028.29,High,Completed
MNT-000464,EQ-0014,2023-04-27,Corrective,Bearing Failure,16.26,4831.53,5539.35,0.0,10370.88,High,Completed
MNT-000465,EQ-0005,2023-04-30,Corrective,Valve Failure,18.84,8499.2,3986.14,18010.02,30495.36,High,Completed
MNT-000466,EQ-0015,2023-04-30,Corrective,Impeller Wear,40.86,10054.56,1555.31,11766.69,23376.56,High,Completed
MNT-000467,EQ-0020,2023-04-30,Preventive,,2.98,584.47,670.18,0.0,1254.65,Medium,Completed
MNT-000468,EQ-0020,2023-04-30,Inspection,,2.15,554.23,6927.42,0.0,7481.65,Low,Completed
MNT-000469,EQ-0042,2023-04-30,Corrective,Seal Leak,40.69,20459.0,4508.38,0.0,24967.38,High,Completed
MNT-000470,EQ-0008,2023-05-01,Corrective,Valve Failure,9.66,2366.16,282.16,0.0,2648.32,High,Completed
MNT-000471,EQ-0027,2023-05-01,Preventive,,4.7,1439.8,216.9,0.0,1656.7,Medium,Completed
MNT-000472,EQ-0048,2023-05-02,Preventive,,10.1,3540.37,936.7,0.0,4477.07,Medium,Completed
MNT-000473,EQ-0042,2023-05-03,Corrective,Overheating,21.34,7840.71,445.6,0.0,8286.31,High,Completed
MNT-000474,EQ-0043,2023-05-03,Preventive,,5.66,1951.52,2359.42,0.0,4310.94,Medium,Completed
MNT-000475,EQ-0040,2023-05-08,Corrective,Seal Leak,22.48,5589.98,727.51,0.0,6317.49,High,Completed
MNT-000476,EQ-0017,2023-05-09,Preventive,,11.8,5888.16,259.16,0.0,6147.32,Medium,Completed
MNT-000477,EQ-0017,2023-05-09,Inspection,,1.38,783.8,0.0,0.0,783.8,Low,Completed
